source_row,recipe,role,action,legacy_path,canonical_legacy_path,mapping_status,reference_label,dss_reference,dataset_name,snapshot_name,dss_subpath,upload_root
2096,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_internvl_grounding_20250526_4,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_internvl_grounding_20250526_4,mapped,,dss://windows_internvl_grounding_20250526_4_v3@v0,windows_internvl_grounding_20250526_4_v3,v0,,
2097,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_crop_internvl_grounding_20250526_4,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_crop_internvl_grounding_20250526_4,mapped,,dss://windows_crop_internvl_grounding_20250526_4_v3@v0,windows_crop_internvl_grounding_20250526_4_v3,v0,,
2098,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_human_internvl_grounding_20250523,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_human_internvl_grounding_20250523,mapped,,dss://windows_human_internvl_grounding_20250523_v3@v0,windows_human_internvl_grounding_20250523_v3,v0,,
2099,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_crop_human_internvl_grounding_20250523,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_crop_human_internvl_grounding_20250523,mapped,,dss://windows_crop_human_internvl_grounding_20250523_v3@v0,windows_crop_human_internvl_grounding_20250523_v3,v0,,
2100,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_hover_internvl_grounding_20250523,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_hover_internvl_grounding_20250523,mapped,,dss://windows_hover_internvl_grounding_20250523_v3@v0,windows_hover_internvl_grounding_20250523_v3,v0,,
2101,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_crop_hover_internvl_grounding_20250523,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_crop_hover_internvl_grounding_20250523,mapped,,dss://windows_crop_hover_internvl_grounding_20250523_v3@v0,windows_crop_hover_internvl_grounding_20250523_v3,v0,,
2102,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_1,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_1,mapped,,dss://windows_aug_internvl_grounding_20250623_1_v3@v0,windows_aug_internvl_grounding_20250623_1_v3,v0,,
2103,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_2,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_2,mapped,,dss://windows_aug_internvl_grounding_20250623_2_v3@v0,windows_aug_internvl_grounding_20250623_2_v3,v0,,
2104,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_3,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_3,mapped,,dss://windows_aug_internvl_grounding_20250623_3_v3@v0,windows_aug_internvl_grounding_20250623_3_v3,v0,,
2105,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_4,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_4,mapped,,dss://windows_aug_internvl_grounding_20250623_4_v3@v0,windows_aug_internvl_grounding_20250623_4_v3,v0,,
2106,omni_262k,primary,verified_previous_v14,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_5,/lustre/fs1/portfolios/nvr/projects/nvr_lpr_agentic/users/mingjiel/workspace/data/ScaleCUA_v3/llava/windows_aug_internvl_grounding_20250623_5,mapped,,dss://windows_aug_internvl_grounding_20250623_5_v3@v0,windows_aug_internvl_grounding_20250623_5_v3,v0,,
